"","setting","date","indicator","dimension","measure","estimate","se","lowerci","upperci"
"1","Afghanistan",2022,"vdpt","Economic status (wealth quintile)","Absolute concentration index",6.40536918700081,0.867557387491998,4.70498795299484,8.10575042100679
"2","Albania",2017,"vdpt","Economic status (wealth quintile)","Absolute concentration index",0.788172213554539,0.362514962016936,0.0776559441444395,1.49868848296464
"3","Algeria",2019,"vdpt","Economic status (wealth quintile)","Absolute concentration index",1.44653594573042,0.947754137911168,-0.411028030774274,3.30409992223512
"4","Angola",2015,"vdpt","Economic status (wealth quintile)","Absolute concentration index",9.12945018830531,1.14537178664909,6.8845627375648,11.3743376390458
"5","Armenia",2016,"vdpt","Economic status (wealth quintile)","Absolute concentration index",-0.415018100258465,1.04097999561444,-2.45530140028943,1.6252651997725
"6","Bangladesh",2017,"vdpt","Economic status (wealth quintile)","Absolute concentration index",0.496970052183221,0.207683256608117,0.0899183490393207,0.904021755327121
"7","Belize",2016,"vdpt","Economic status (wealth quintile)","Absolute concentration index",0.322046280219942,1.07133326122513,-1.77772832722115,2.42182088766103
"8","Benin",2021,"vdpt","Economic status (wealth quintile)","Absolute concentration index",5.95122450452876,0.301076993123468,5.36112444143315,6.54132456762437
"9","Bolivia (Plurinational State of)",2016,"vdpt","Economic status (wealth quintile)","Absolute concentration index",0.332377588681836,0.800601285903732,-1.23677209766593,1.9015272750296
"10","Burkina Faso",2021,"vdpt","Economic status (wealth quintile)","Absolute concentration index",0.814104040080909,0.323940783745557,0.17919177081594,1.44901630934588
"11","Burundi",2016,"vdpt","Economic status (wealth quintile)","Absolute concentration index",0.0437927533295236,0.254295327199776,-0.454616929418865,0.542202436077912
"12","Cambodia",2021,"vdpt","Economic status (wealth quintile)","Absolute concentration index",2.15410601087358,1.05207633930642,0.0920742768462661,4.2161377449009
"13","Cameroon",2018,"vdpt","Economic status (wealth quintile)","Absolute concentration index",6.37139218338984,0.838681568452177,4.72760651472601,8.01517785205367
"14","Central African Republic",2019,"vdpt","Economic status (wealth quintile)","Absolute concentration index",6.81473466926573,1.78375036372852,3.31864819894762,10.3108211395838
"15","Chad",2014,"vdpt","Economic status (wealth quintile)","Absolute concentration index",2.40627279113333,0.951622264956772,0.541127424931625,4.27141815733504
"16","Comoros",2022,"vdpt","Economic status (wealth quintile)","Absolute concentration index",3.77148036259397,1.0733744095219,1.66770517800411,5.87525554718384
"17","Congo",2014,"vdpt","Economic status (wealth quintile)","Absolute concentration index",5.57076213222572,2.08996260214983,1.47451070297644,9.667013561475
"18","Costa Rica",2018,"vdpt","Economic status (wealth quintile)","Absolute concentration index",1.22596085343259,0.929175373432958,-0.595189413817566,3.04711112068274
"19","Cuba",2019,"vdpt","Economic status (wealth quintile)","Absolute concentration index",1.30609220008074,0.352475449423075,0.615253013776949,1.99693138638454
"20","Côte d'Ivoire",2021,"vdpt","Economic status (wealth quintile)","Absolute concentration index",0.674285466337086,0.974880351532618,-1.23644491190259,2.58501584457676
"21","Democratic Republic of the Congo",2017,"vdpt","Economic status (wealth quintile)","Absolute concentration index",7.21994403092057,1.04441681254508,5.1729246934841,9.26696336835705
"22","Dominican Republic",2019,"vdpt","Economic status (wealth quintile)","Absolute concentration index",2.24585452252766,1.09358301167281,0.102471205544105,4.38923783951121
"23","Ecuador",2018,"vdpt","Economic status (wealth quintile)","Absolute concentration index",0.83196548099555,0.216668060522636,0.40730388577104,1.25662707622006
"24","Egypt",2014,"vdpt","Economic status (wealth quintile)","Absolute concentration index",0.891776682639586,0.259195256171433,0.383763315579944,1.39979004969923
"25","El Salvador",2014,"vdpt","Economic status (wealth quintile)","Absolute concentration index",-1.04273317783317,0.492275768894176,-2.00757595532752,-0.0778904003388217
"26","Eswatini",2021,"vdpt","Economic status (wealth quintile)","Absolute concentration index",0.807415697929266,0.49496644749349,-0.162700712713709,1.77753210857224
"27","Ethiopia",2019,"vdpt","Economic status (wealth quintile)","Absolute concentration index",6.69437671140965,1.98598204042195,2.80192343823927,10.58682998458
"28","Fiji",2021,"vdpt","Economic status (wealth quintile)","Absolute concentration index",0.42149484971179,0.492070637741043,-0.54294587811031,1.38593557753389
"29","Gabon",2019,"vdpt","Economic status (wealth quintile)","Absolute concentration index",2.87127636643358,1.80014829710254,-0.656949462718499,6.39950219558567
"30","Gambia",2019,"vdpt","Economic status (wealth quintile)","Absolute concentration index",-0.262336216161059,0.586888108356487,-1.41261577149461,0.887943339172495
"31","Ghana",2022,"vdpt","Economic status (wealth quintile)","Absolute concentration index",1.97787752504525,0.502056388771211,0.993865084845441,2.96188996524507
"32","Guatemala",2015,"vdpt","Economic status (wealth quintile)","Absolute concentration index",2.50921972710685,0.342027692168824,1.8388577687406,3.17958168547309
"33","Guinea",2018,"vdpt","Economic status (wealth quintile)","Absolute concentration index",4.85455936432702,0.765124294298278,3.35494330380577,6.35417542484827
"34","Guinea-Bissau",2019,"vdpt","Economic status (wealth quintile)","Absolute concentration index",0.241745590543252,0.932241531103872,-1.58541423531281,2.06890541639932
"35","Haiti",2016,"vdpt","Economic status (wealth quintile)","Absolute concentration index",6.89154367727369,1.70463520209696,3.55052007438449,10.2325672801629
"36","Honduras",2019,"vdpt","Economic status (wealth quintile)","Absolute concentration index",-0.353654460316316,0.360507988093525,-1.06023713311862,0.352928212485986
"37","India",2020,"vdpt","Economic status (wealth quintile)","Absolute concentration index",1.21926849649265,0.329890893679238,0.572694226053611,1.86584276693169
"38","Indonesia",2017,"vdpt","Economic status (wealth quintile)","Absolute concentration index",3.04325429903609,0.749931541451317,1.5734154869209,4.51309311115128
"39","Iraq",2018,"vdpt","Economic status (wealth quintile)","Absolute concentration index",5.05939901605858,1.0493940338576,3.00262450410648,7.11617352801068
"40","Jordan",2017,"vdpt","Economic status (wealth quintile)","Absolute concentration index",0.616957080435729,0.361738833713585,-0.0920380054524208,1.32595216632388
"41","Kazakhstan",2015,"vdpt","Economic status (wealth quintile)","Absolute concentration index",-2.41473872319241,1.01489454233203,-4.40389547426946,-0.425581972115368
"42","Kenya",2022,"vdpt","Economic status (wealth quintile)","Absolute concentration index",0.751786632812116,0.629895761223587,-0.482786373200555,1.98635963882479
"43","Kiribati",2019,"vdpt","Economic status (wealth quintile)","Absolute concentration index",1.72952010155805,0.888974877406927,-0.0128386413204387,3.47187884443653
"44","Kyrgyzstan",2018,"vdpt","Economic status (wealth quintile)","Absolute concentration index",-2.78466276711414,1.28262222239531,-5.29855612877967,-0.270769405448614
"45","Lao People's Democratic Republic",2017,"vdpt","Economic status (wealth quintile)","Absolute concentration index",6.22513681743135,0.819040010359143,4.61984789523012,7.83042573963258
"46","Lesotho",2018,"vdpt","Economic status (wealth quintile)","Absolute concentration index",2.12537810033501,1.40075803587262,-0.620057201030387,4.8708134017004
"47","Liberia",2019,"vdpt","Economic status (wealth quintile)","Absolute concentration index",2.47417729831227,1.39720922867475,-0.264302468757228,5.21265706538176
"48","Madagascar",2021,"vdpt","Economic status (wealth quintile)","Absolute concentration index",6.00722038198003,0.509961629129645,5.00771395538855,7.0067268085715
"49","Malawi",2020,"vdpt","Economic status (wealth quintile)","Absolute concentration index",1.15856042779631,0.426681032227642,0.322280971743756,1.99483988384886
"50","Maldives",2016,"vdpt","Economic status (wealth quintile)","Absolute concentration index",-0.415425247244733,1.13516127456647,-2.6403004620396,1.80944996755013
"51","Mali",2018,"vdpt","Economic status (wealth quintile)","Absolute concentration index",3.53624647857708,0.430954451877735,2.69159127391952,4.38090168323464
"52","Mauritania",2020,"vdpt","Economic status (wealth quintile)","Absolute concentration index",2.57883154541285,0.770323404687967,1.06902541577616,4.08863767504953
"53","Mexico",2019,"vdpt","Economic status (wealth quintile)","Absolute concentration index",-0.0764022931677089,0.537429074674693,-1.12974392377479,0.976939337439377
"54","Mongolia",2018,"vdpt","Economic status (wealth quintile)","Absolute concentration index",-0.00361275167129627,0.624643677014049,-1.2278918617895,1.22066635844691
"55","Montenegro",2013,"vdpt","Economic status (wealth quintile)","Absolute concentration index",-0.473556351495432,1.28515335137142,-2.99241063479437,2.04529793180351
"56","Mozambique",2022,"vdpt","Economic status (wealth quintile)","Absolute concentration index",9.71280460001132,1.06574180888805,7.62398903777218,11.8016201622505
"57","Myanmar",2016,"vdpt","Economic status (wealth quintile)","Absolute concentration index",7.43646384213016,1.45720198783155,4.58040042778015,10.2925272564802
"58","Namibia",2013,"vdpt","Economic status (wealth quintile)","Absolute concentration index",-1.59704834732853,1.31602215105286,-4.17640436624907,0.982307671592003
"59","Nepal",2022,"vdpt","Economic status (wealth quintile)","Absolute concentration index",1.73806428700494,0.678235820253507,0.408746506283084,3.0673820677268
"60","Niger",2021,"vdpt","Economic status (wealth quintile)","Absolute concentration index",1.89174513816088,1.33676944686364,-0.728274833325385,4.51176510964714
"61","Nigeria",2021,"vdpt","Economic status (wealth quintile)","Absolute concentration index",9.151776121434,1.13287540940628,6.93138112002662,11.3721711228414
"62","North Macedonia",2019,"vdpt","Economic status (wealth quintile)","Absolute concentration index",-1.07925736537887,1.60031036029602,-4.21580803564539,2.05729330488765
"63","Pakistan",2017,"vdpt","Economic status (wealth quintile)","Absolute concentration index",7.48205461972287,1.23737820218302,5.05683790818923,9.90727133125651
"64","Papua New Guinea",2017,"vdpt","Economic status (wealth quintile)","Absolute concentration index",7.82891595434437,0.848611025212013,6.16566890804521,9.49216300064353
"65","Paraguay",2016,"vdpt","Economic status (wealth quintile)","Absolute concentration index",0.299664722159642,0.512092811905019,-0.704018745916039,1.30334819023532
"66","Peru",2022,"vdpt","Economic status (wealth quintile)","Absolute concentration index",1.45076696622516,0.856245698007025,-0.227443763785965,3.12897769623629
"67","Philippines",2022,"vdpt","Economic status (wealth quintile)","Absolute concentration index",5.17987573030369,0.879958492949663,3.45518877623221,6.90456268437517
"68","Rwanda",2019,"vdpt","Economic status (wealth quintile)","Absolute concentration index",0.14893877001932,0.134367468950193,-0.114416629816863,0.412294169855503
"69","Samoa",2020,"vdpt","Economic status (wealth quintile)","Absolute concentration index",1.93188365957602,1.77332801276317,-1.54377537821578,5.40754269736781
"70","Sao Tome and Principe",2019,"vdpt","Economic status (wealth quintile)","Absolute concentration index",1.97452262635412,0.545067301206261,0.906210346839402,3.04283490586884
"71","Senegal",2019,"vdpt","Economic status (wealth quintile)","Absolute concentration index",2.68255493067574,0.80870389236096,1.0975244274909,4.26758543386057
"72","Serbia",2019,"vdpt","Economic status (wealth quintile)","Absolute concentration index",2.25923586872816,0.940602228582649,0.415689376928058,4.10278236052826
"73","Sierra Leone",2019,"vdpt","Economic status (wealth quintile)","Absolute concentration index",0.109796803703209,0.683123148098777,-1.22909996357601,1.44869357098243
"74","South Africa",2016,"vdpt","Economic status (wealth quintile)","Absolute concentration index",-0.905159899013961,1.94135619591636,-4.7101481241737,2.89982832614578
"75","Sudan",2014,"vdpt","Economic status (wealth quintile)","Absolute concentration index",8.28789751681371,1.49822927563913,5.35142209597748,11.2243729376499
"76","Suriname",2018,"vdpt","Economic status (wealth quintile)","Absolute concentration index",0.692110393201146,0.946866625348936,-1.16371409064575,2.54793487704804
"77","Tajikistan",2017,"vdpt","Economic status (wealth quintile)","Absolute concentration index",-1.81088808798622,0.858545587624078,-3.49360651881519,-0.128169657157255
"78","Thailand",2022,"vdpt","Economic status (wealth quintile)","Absolute concentration index",0.584800999254229,0.658979200346922,-0.706774499986742,1.8763764984952
"79","Timor-Leste",2016,"vdpt","Economic status (wealth quintile)","Absolute concentration index",4.70278590145114,0.460068055915808,3.8010690814188,5.60450272148348
"80","Togo",2017,"vdpt","Economic status (wealth quintile)","Absolute concentration index",1.58937393165893,0.197081062353165,1.20310214741183,1.97564571590602
